,start_station_name,end_station_name,value,start_lat,start_lon,end_lat,end_lon
159062,Grand St & Elizabeth St,W 11 St & 6 Ave,7.0,40.718822,-73.99596,40.73532427,-73.99800419
38521,12 Ave & W 125 St,Bleecker St & Crosby St,1.0,40.818299,-73.960405,40.72615604980408,-73.99510189890862
67062,Grand St & Samuel Dickstein Plaza,E 11 St & 1 Ave,3.0,40.715118719964956,-73.98417055606842,40.72953837,-73.98426726
42819,Fort Washington Ave & W 173 St,Broadway & W 168 St,2.0,40.84522,-73.940493,40.84089603193041,-73.93972098827362
4794,Columbus Ave & W 95 St,11 Ave & W 59 St,1.0,40.7919557,-73.968087,40.77149671054441,-73.99046033620834
7183,Broadway & W 36 St,2 Ave & E 31 St,10.0,40.75097711,-73.98765428,40.74299,-73.97711
150839,E 25 St & 1 Ave,Stanton St & Mangin St,1.0,40.7381765,-73.97738662,40.71782143,-73.97628939
92822,Riverside Dr & W 91 St,E 9 St & 5 Ave,2.0,40.79313480986663,-73.97700369358063,40.73275887045087,-73.99581670761108
36907,Westchester Ave & Jackson Ave,Bergen Ave & E 152 St,1.0,40.816124,-73.908116,40.817166,-73.914737
71091,6 Ave & Broome St,E 15 St & 3 Ave,1.0,40.72431,-74.00473,40.734232,-73.986923
3524,W 90 St & Amsterdam Ave,10 Ave & W 14 St,1.0,40.79018,-73.97289,40.741981599940225,-74.00831580162048
127368,E 67 St & Park Ave,Mercer St & Spring St,1.0,40.76780080148132,-73.96592080593109,40.72362738,-73.99949601
40572,Hanson Pl & Ashland Pl,Broadway & Berry St,3.0,40.68506807308177,-73.97790759801863,40.71036129922581,-73.96530389785767
33709,Clinton St & 4 Place,Atlantic Ave & Furman St,5.0,40.6783563,-74.00014502,40.69165183,-73.9999786
144570,6 Ave & 9 St,S 5 Pl & S 5 St,1.0,40.668127,-73.98377641,40.710451,-73.960876
186130,Nassau Ave & Russell St,Willoughby Ave & Wyckoff Ave,1.0,40.72557,-73.94434,40.705614,-73.92153
122104,Central Ave & Melrose St,Linden St & Knickerbocker Ave,11.0,40.70112,-73.93039,40.69714,-73.91566
28199,Washington St & Gansevoort St,9 Ave & W 22 St,10.0,40.739323,-74.008119,40.7454973,-74.00197139
71924,E 27 St & Park Ave S,E 16 St & Irving Pl,1.0,40.74275179648995,-73.9847157150507,40.735367055605394,-73.98797392845154
169612,W 50 St & 9 Ave,W 37 St & Broadway,1.0,40.763604677958625,-73.98917958140373,40.75227093837409,-73.98770570755005
38601,Division St & Bowery,Bleecker St & Crosby St,4.0,40.71419,-73.99673,40.72615604980408,-73.99510189890862
31512,Lexington Ave & E 127 St,Amsterdam Ave & W 125 St,4.0,40.805726,-73.936322,40.813358,-73.956461
21696,Greene Ave & Nostrand Ave,5 St & Market St,3.0,40.6883337,-73.950916,40.699997484388504,-73.97440128028393
98375,Columbus Ave & W 72 St,Frederick Douglass Blvd & W 115 St,5.0,40.7770575,-73.97898475,40.8038654,-73.9559308
139442,6 Ave & 9 St,Prospect Park SW & Vanderbilt St,1.0,40.668127,-73.98377641,40.65482,-73.973217
116119,W 59 St & 10 Ave,LaGuardia Pl & W 3 St,1.0,40.770513,-73.988038,40.72917025,-73.99810231
56592,E 20 St & 2 Ave,Clinton St & Cherry St,2.0,40.73587678,-73.98205027,40.711471394469264,-73.98672603070736
180788,Barry St & Tiffany St,Washington Ave & E 167 St,1.0,40.816126,-73.891559,40.829896,-73.907618
165394,W 225 St & Exterior St,W 225 St & Exterior St,8.0,40.873265,-73.906646,40.873265,-73.906646
102615,Myrtle Ave & Marcy Ave,Graham Ave & Grand St,1.0,40.69539817,-73.94954908,40.711863,-73.944024
10406,Greene Ave & Nostrand Ave,29 St & 5 Ave,1.0,40.6883337,-73.950916,40.656986,-73.998194
17378,Hanson Pl & Ashland Pl,41 St & 4 Ave,3.0,40.68506807308177,-73.97790759801863,40.651354,-74.007168
87194,2 Ave & E 72 St,E 65 St & 2 Ave,37.0,40.7687620293096,-73.95840793848038,40.76471851944339,-73.96222069859505
56206,Grand St & Greene St,Clinton Ave & Myrtle Ave,1.0,40.72170005235607,-74.00238141417502,40.693261,-73.968896
118918,N 6 St & Bedford Ave,Leonard St & Boerum St,1.0,40.71745169,-73.95850939,40.70583339,-73.94644578
160618,Lexington Ave & E 127 St,W 135 St & Lenox Terrace Pl,3.0,40.805726,-73.936322,40.813619,-73.939336
159702,E 33 St & 5 Ave,W 12 St & Hudson St,4.0,40.74765947,-73.98490707,40.73752993301071,-74.00558933615685
154220,Carroll St & Franklin Ave,Underhill Ave & Lincoln Pl,1.0,40.6679411,-73.9588,40.6740123,-73.9671457
72703,Hudson St & W 13 St,E 17 St & Broadway,7.0,40.74005708567285,-74.0052741765976,40.737006,-73.990134
120443,Melrose Ave & E 150 St,Lexington Ave & E 120 St,1.0,40.816827,-73.917338,40.8013066,-73.9398167
81399,W 52 St & 6 Ave,E 47 St & 1 Ave,6.0,40.76132983124814,-73.97982001304626,40.75206862,-73.96784384
2480,Nassau Ave & Russell St,1 Ave & E 68 St,5.0,40.72557,-73.94434,40.76500525,-73.95818491
100498,Park Pl & Church St,Fulton St & Broadway,6.0,40.71334184275907,-74.00935515761375,40.711066,-74.009447
17641,Menahan St & Seneca Ave,43 St & 37 Ave,1.0,40.70461,-73.91054,40.750181,-73.919998
129366,N 15 St & Wythe Ave,Montrose Ave & Bushwick Ave,2.0,40.724055,-73.955736,40.70767788,-73.94016171
55772,Broad St & Bridge St,Cliff St & Fulton St,6.0,40.70365182,-74.01167797,40.70838,-74.00495
29387,E 115 St & Lexington Ave,Adam Clayton Powell Blvd & W 132 St,1.0,40.797911,-73.9423,40.813539,-73.94521
39345,Washington Ave & Greene Ave,Bond St & Bergen St,1.0,40.68650065,-73.96563307,40.6849668,-73.98620772
134955,Flushing Ave & Vanderbilt Ave,Pacific St & Nevins St,1.0,40.697950315695444,-73.97077560424805,40.6853761,-73.98302136
61206,Hancock St & Bedford Ave,Cumberland St & Lafayette Ave,2.0,40.68216564,-73.95399026,40.68753406,-73.97265183
28067,Lafayette St & E 8 St,9 Ave & W 22 St,8.0,40.73020660529954,-73.99102628231049,40.7454973,-74.00197139
122540,Pier 40 - Hudson River Park,Little West St & 1 Pl,36.0,40.7277140777778,-74.01129573583603,40.70569254,-74.01677685
131173,W 24 St & 7 Ave,Murray St & West St,8.0,40.74487634,-73.99529885,40.71503,-74.01246
16780,Duffield St & Willoughby St,4 Ave & 9 St,5.0,40.69221589,-73.9842844,40.6705135,-73.98876585
85928,30 Ave & 21 St,E 58 St & Madison Ave,1.0,40.7703743,-73.9286078,40.76302594280519,-73.97209525108337
98205,E 2 St & 2 Ave,Frederick Douglass Blvd & W 112 St,1.0,40.72502876,-73.99069656,40.801694,-73.957145
183857,E 45 St & 3 Ave,West End Ave & W 60 St,5.0,40.75255434,-73.97282625,40.77237,-73.99005
41088,Bialystoker Pl & Delancey St,Broadway & E 21 St,3.0,40.71622644,-73.98261206,40.739888408589955,-73.98958593606949
124627,Henry St & Remsen St,Madison St & Clinton St,1.0,40.69400964865994,-73.99465128779411,40.71269042,-73.98776323
7143,31 Ave & 61 St,2 Ave & E 31 St,1.0,40.757525,-73.901614,40.74299,-73.97711
102858,N 6 St & Bedford Ave,Graham Ave & Withers St,7.0,40.71745169,-73.95850939,40.7169811,-73.94485918
72271,Amsterdam Ave & W 183 St,E 163 St & Union Ave,1.0,40.84925,-73.93022,40.822545,-73.901824
16225,35 St & Broadway,38 St & 30 Ave,12.0,40.760339,-73.9222427,40.764174520197685,-73.91583994030952
150464,Graham Ave & Grand St,Stanhope St & Fairview Ave,2.0,40.711863,-73.944024,40.70998,-73.91116
42832,Pinehurst Ave & W 187 St,Broadway & W 168 St,2.0,40.855331,-73.937878,40.84089603193041,-73.93972098827362
75003,1 Ave & E 18 St,E 20 St & Park Ave,41.0,40.733812191966315,-73.98054420948029,40.73827428,-73.98751968
36342,Bushwick Ave & Linden St,Bedford Ave & Bergen St,1.0,40.69146,-73.92146,40.676368,-73.952918
109253,Canal St & Rutgers St,Henry St & Grand St,164.0,40.71427487,-73.98990025,40.714211,-73.981095
103705,Grand Concourse & E 161 St,Grand Concourse & E 161 St,9.0,40.82713380423556,-73.9227358996868,40.82713380423556,-73.9227358996868
98060,W 13 St & 7 Ave,Franklin St & W Broadway,5.0,40.73781509,-73.99994661,40.71911552,-74.00666661
132601,Morris Ave & McClellan St,Nagle Ave & Thayer St,1.0,40.831584,-73.9149,40.861382,-73.925591
68283,Morningside Ave & W 123 St,E 116 St & 2 Ave,4.0,40.81,-73.9551508,40.796879,-73.937261
106859,Fulton St & Broadway,Greenwich St & Perry St,2.0,40.711066,-74.009447,40.73498,-74.00697
129030,Atlantic Ave & Fort Greene Pl,Montague St & Clinton St,2.0,40.68382604,-73.97632328,40.6942715,-73.9923272
159906,1 Ave & E 110 St,W 129 St & Convent Ave,1.0,40.7923272,-73.9383,40.814394437915816,-73.95324736833572
134065,Harrison St & Hudson St,North Moore St & Greenwich St,3.0,40.71870987,-74.0090009,40.72019521437465,-74.0103006362915
